input_length,output_length,latency,timestamp,architecture,scale
5153,6,0.002420245,195161221,MoE,>100B
12732,309,0.002112082,196049070,MoE,>100B
3817,86,0.001266822,196076070,MoE,>100B
1776,122,0.001573,196861647,MoE,>100B
4733,6,0.001658181,196982402,MoE,>100B
14402,207,0.000719904,197980155,MoE,>100B
1115,1874,0.00164666,198029291,MoE,>100B
12957,128,0.001370512,198942403,MoE,>100B
2334,112,0.001359913,199045228,MoE,>100B
5742,2612,0.000703352,199091634,MoE,>100B
597,61,0.002258465,199899517,MoE,>100B
883,837,0.000692534,199990211,MoE,>100B
204,1210,0.000730464,201879469,MoE,>100B
7455,106,0.000818286,201887810,MoE,>100B
9082,142,0.00663392,202051198,MoE,>100B
1164,50,0.001029467,202074758,MoE,>100B
2049,639,0.001356613,202895077,MoE,>100B
4370,202,0.00163238,203054513,MoE,>100B
7750,0,1.121958417,203213765,MoE,>100B
1591,126,0.001617,203866988,MoE,>100B
9297,0,2.248191002,203964891,MoE,>100B
1471,4813,0.002931767,204016784,MoE,>100B
3757,67,0.001270653,204019184,MoE,>100B
411,0,0.260479216,204023411,MoE,>100B
2298,120,0.000719096,204862301,MoE,>100B
4136,842,0.002200185,204947347,MoE,>100B
2034,782,0.001251233,206057475,MoE,>100B
8209,528,0.00174528,206874608,MoE,>100B
18899,69,0.002267954,206996357,MoE,>100B
580,58,0.002150734,207911776,MoE,>100B
15,730,0.001690002,208950635,MoE,>100B
18569,1040,0.001218883,208978261,MoE,>100B
18488,386,2.609e-05,208979656,MoE,>100B
2033,846,0.001477533,208980420,MoE,>100B
3404,231,0.000762726,209026102,MoE,>100B
148,10715,0.002110535,210016384,MoE,>100B
330,942,0.001235752,211011446,MoE,>100B
2290,228,0.000800871,211014203,MoE,>100B
3331,55,0.000810092,211887732,MoE,>100B
96,16,0.001282833,212025565,MoE,>100B
15023,352,0.001374132,212099514,MoE,>100B
4385,407,0.003823108,212907363,MoE,>100B
1639,864,0.000823375,213012082,MoE,>100B
8764,13,0.001321183,213878432,MoE,>100B
4942,153,0.002074543,214873891,MoE,>100B
4435,425,0.002099094,214880278,MoE,>100B
960,323,0.003498013,214884662,MoE,>100B
7187,0,1.832108761,215024940,MoE,>100B
4417,539,0.001819801,215883649,MoE,>100B
9,659,0.002425155,216012979,MoE,>100B
665,62,0.003682988,216993421,MoE,>100B
6217,437,0.001002517,217127979,MoE,>100B
7468,554,0.002124562,217915449,MoE,>100B
2181,498,0.002164413,217917258,MoE,>100B
567,47,0.000841832,217979920,MoE,>100B
17323,505,0.002174353,218002353,MoE,>100B
9,942,0.000948492,218063635,MoE,>100B
8447,234,0.002405785,218873243,MoE,>100B
1225,69,0.002196005,218961332,MoE,>100B
471,69,0.002148834,220022177,MoE,>100B
2103,818,0.001571409,220029079,MoE,>100B
5114,199,0.002125163,220908738,MoE,>100B
581,71,0.001761191,220985853,MoE,>100B
44968,3552,0.000700074,221870465,MoE,>100B
4734,6,0.000631432,222996949,MoE,>100B
4771,6,0.002146235,223047186,MoE,>100B
844,126,0.004373409,223932950,MoE,>100B
72052,598,0.002218864,223981618,MoE,>100B
12308,2251,2.452e-05,223982672,MoE,>100B
445,108,0.001601929,224901378,MoE,>100B
745,195,0.000792291,224945925,MoE,>100B
2237,312,0.00164482,225917778,MoE,>100B
745,189,0.002896255,225976224,MoE,>100B
5240,147,0.000722946,226905318,MoE,>100B
471,69,0.002136835,226936548,MoE,>100B
591,100,0.00177835,226946323,MoE,>100B
5250,764,0.002102454,228919407,MoE,>100B
8894,18,0.002106143,229909447,MoE,>100B
4404,1671,0.001229802,229910495,MoE,>100B
66658,440,0.001200262,229912044,MoE,>100B
3141,194,0.001740691,229913001,MoE,>100B
4330,354,0.001503699,230004918,MoE,>100B
2567,0,1.353877787,230006128,MoE,>100B
2847,241,0.000801231,230028256,MoE,>100B
7707,137,0.000734742,230931819,MoE,>100B
4309,490,0.001247193,230984578,MoE,>100B
473,69,0.002082314,232942003,MoE,>100B
2256,237,0.00162598,232955234,MoE,>100B
8286,528,0.001670071,232959439,MoE,>100B
3491,122,0.001295713,233963951,MoE,>100B
7,695,0.00180025,234964625,MoE,>100B
4386,5558,0.001325852,235074813,MoE,>100B
615,72,0.001973143,235102092,MoE,>100B
2109,179,0.002130053,235971545,MoE,>100B
696,149,0.002691375,237014211,MoE,>100B
2667,278,0.001264552,237047282,MoE,>100B
589,57,0.001615819,237102497,MoE,>100B
26230,2387,0.001374173,237976648,MoE,>100B
959,268,0.000858142,238006853,MoE,>100B
7804,265,0.002128724,238103011,MoE,>100B
2799,375,0.002097135,238114710,MoE,>100B
104722,2541,0.001256463,238129818,MoE,>100B
892,19,0.000756864,238169556,MoE,>100B
247,1063,0.002273405,238937011,MoE,>100B
1818,56,0.002088153,239053314,MoE,>100B
707,154,0.00161948,240004341,MoE,>100B
8835,22,0.000720675,240021399,MoE,>100B
467,69,0.001045482,240881887,MoE,>100B
17513,45,0.000791121,240968895,MoE,>100B
581,70,0.001616661,241970260,MoE,>100B
9473,873,0.002398305,242010544,MoE,>100B
686,136,0.002450216,243897106,MoE,>100B
722,145,0.000860512,244094063,MoE,>100B
8,708,0.002238565,245970743,MoE,>100B
101,6,0.001285123,246086402,MoE,>100B
25658,245,0.001652843,246885016,MoE,>100B
2648,200,0.00317378,247874965,MoE,>100B
647,92,0.01632934,247879457,MoE,>100B
5219,292,0.00156143,248039801,MoE,>100B
754,167,0.001698261,248107359,MoE,>100B
589,73,0.001675171,248882906,MoE,>100B
630,102,0.000798872,248977571,MoE,>100B
4343,236,0.00156659,249081165,MoE,>100B
760,54,0.004338359,249997541,MoE,>100B
8361,544,0.00155554,250026784,MoE,>100B
3053,1144,0.001910714,250058956,MoE,>100B
13,759,0.001563939,250155789,MoE,>100B
