input_length,output_length,latency,timestamp,architecture,scale
327,43,0.0013,356089607.0,Dense,30-100B
403,47,0.0007,358064742.0,Dense,30-100B
827,480,0.0007,360108353.0,Dense,30-100B
2234,467,0.0008,363053443.0,Dense,30-100B
221,18,0.0008,365075153.0,Dense,30-100B
218,2,0.0008,365081295.0,Dense,30-100B
1445,59,0.0013,366033392.0,Dense,30-100B
3344,233,0.0022,367165039.0,Dense,30-100B
2950,313,0.0012,369021792.0,Dense,30-100B
355,347,0.0019,369023752.0,Dense,30-100B
2095,1216,0.0022,374014998.0,Dense,30-100B
1596,59,0.0022,374016126.0,Dense,30-100B
398,25,0.0012,376160774.0,Dense,30-100B
2463,436,0.0008,379015599.0,Dense,30-100B
2212,162,0.0008,384010028.0,Dense,30-100B
647,138,0.0012,384070962.0,Dense,30-100B
233,32,0.0022,385130287.0,Dense,30-100B
5759,752,0.0007,386019448.0,Dense,30-100B
235,482,0.0013,386141272.0,Dense,30-100B
1481,1318,0.0026,387185098.0,Dense,30-100B
112,358,0.0019,388090132.0,Dense,30-100B
320,78,0.0009,388094102.0,Dense,30-100B
891,24,0.0009,388095263.0,Dense,30-100B
3351,161,0.0021,390037236.0,Dense,30-100B
1834,301,0.0008,391163584.0,Dense,30-100B
3389,570,0.0021,393049229.0,Dense,30-100B
2981,297,0.0022,393052872.0,Dense,30-100B
792,910,0.0008,395103713.0,Dense,30-100B
6226,114,0.0008,397112698.0,Dense,30-100B
295,1090,0.0022,399029477.0,Dense,30-100B
229,4,0.0013,399082201.0,Dense,30-100B
10708,1580,0.0021,400019119.0,Dense,30-100B
241,4,0.0007,400034724.0,Dense,30-100B
3351,135,0.0015,401146853.0,Dense,30-100B
4950,751,0.0013,404068716.0,Dense,30-100B
601,7,0.0013,411034068.0,Dense,30-100B
13,905,0.0017,413102220.0,Dense,30-100B
1993,67,0.0026,413160587.0,Dense,30-100B
420,15,0.0035,413165425.0,Dense,30-100B
3351,127,0.0022,414033944.0,Dense,30-100B
443,5,0.0013,414059404.0,Dense,30-100B
3224,152,0.0015,414136577.0,Dense,30-100B
3709,4,0.0013,415049544.0,Dense,30-100B
813,4,0.0007,415077166.0,Dense,30-100B
361,14,0.0013,416029170.0,Dense,30-100B
2307,4405,0.0013,416087841.0,Dense,30-100B
419,282,0.0013,419019646.0,Dense,30-100B
2813,157,0.0008,419025122.0,Dense,30-100B
5748,636,0.0008,420003937.0,Dense,30-100B
251,378,0.0012,420121904.0,Dense,30-100B
11905,299,0.0021,421083384.0,Dense,30-100B
398,77,0.0013,421091177.0,Dense,30-100B
13358,549,0.0008,423054177.0,Dense,30-100B
3316,1740,0.0015,424084167.0,Dense,30-100B
1506,126,0.0016,424121447.0,Dense,30-100B
517,1431,0.0021,425033147.0,Dense,30-100B
4686,797,0.0012,425061982.0,Dense,30-100B
996,133,0.0016,427023741.0,Dense,30-100B
3344,223,0.0008,427109176.0,Dense,30-100B
915,89,0.0007,427193979.0,Dense,30-100B
1106,204,0.0022,429025356.0,Dense,30-100B
2540,786,0.0022,430108366.0,Dense,30-100B
5005,792,0.0013,432186883.0,Dense,30-100B
20000,822,0.0013,434036277.0,Dense,30-100B
127,62,0.0007,437097437.0,Dense,30-100B
240,45,0.0015,442091801.0,Dense,30-100B
485,246,0.0022,445098688.0,Dense,30-100B
1393,317,0.0012,446208196.0,Dense,30-100B
1220,488,0.0007,447017991.0,Dense,30-100B
390,53,0.0024,447090061.0,Dense,30-100B
1190,459,0.0007,449140047.0,Dense,30-100B
1837,600,0.0021,450023643.0,Dense,30-100B
314,40,0.0013,450050545.0,Dense,30-100B
780,633,0.0013,455030649.0,Dense,30-100B
737,573,0.0022,455130035.0,Dense,30-100B
3955,669,0.0012,458145887.0,Dense,30-100B
225,4,0.0014,460141835.0,Dense,30-100B
3583,705,0.0014,461090924.0,Dense,30-100B
3630,168,0.0078,462135629.0,Dense,30-100B
252,834,0.0013,463029623.0,Dense,30-100B
235,622,0.0022,463079116.0,Dense,30-100B
561,22,0.0007,464147190.0,Dense,30-100B
316,166,0.0013,467054110.0,Dense,30-100B
2272,511,0.0016,468048407.0,Dense,30-100B
218,2,0.0013,471023984.0,Dense,30-100B
171,257,0.0021,472064592.0,Dense,30-100B
2184,301,0.0021,472103244.0,Dense,30-100B
3630,141,0.0016,473111438.0,Dense,30-100B
5629,677,0.0008,477011641.0,Dense,30-100B
34,450,0.0021,477232775.0,Dense,30-100B
3593,682,0.0007,482143056.0,Dense,30-100B
3545,548,0.0015,483021222.0,Dense,30-100B
57,704,0.0008,487005748.0,Dense,30-100B
3351,217,0.0016,487032046.0,Dense,30-100B
928,26,0.0008,488019550.0,Dense,30-100B
3630,289,0.0017,488179049.0,Dense,30-100B
243,183,0.0014,489132783.0,Dense,30-100B
2644,16,0.0023,490018509.0,Dense,30-100B
1136,108,0.0021,490137148.0,Dense,30-100B
386,5,0.0013,491064092.0,Dense,30-100B
1429,251,0.0017,491124175.0,Dense,30-100B
276,388,0.0008,495009698.0,Dense,30-100B
227,3,0.0009,498005704.0,Dense,30-100B
128,25,0.0007,498014683.0,Dense,30-100B
491,1474,0.0022,498097550.0,Dense,30-100B
3459,1685,0.0007,499093205.0,Dense,30-100B
906,568,0.0014,499200470.0,Dense,30-100B
1806,626,0.0013,499229567.0,Dense,30-100B
2274,445,0.0019,500077251.0,Dense,30-100B
268,1776,0.0021,500087767.0,Dense,30-100B
1300,229,0.0022,502043618.0,Dense,30-100B
233,107,0.0021,503026342.0,Dense,30-100B
378,110,0.0008,504096563.0,Dense,30-100B
230,406,0.0012,505027052.0,Dense,30-100B
1883,539,0.0013,507085663.0,Dense,30-100B
925,57,0.0034,508220644.0,Dense,30-100B
29,531,0.0021,509040452.0,Dense,30-100B
2343,36,0.0023,509161632.0,Dense,30-100B
3468,1840,0.0007,513020385.0,Dense,30-100B
239,251,0.0012,513095901.0,Dense,30-100B
1553,1272,0.0022,516135768.0,Dense,30-100B
230,4,0.0007,517009864.0,Dense,30-100B
535,1430,0.0023,517159062.0,Dense,30-100B
1026,28,0.0012,522028879.0,Dense,30-100B
235,625,0.0007,522029595.0,Dense,30-100B
2189,835,0.0027,522160918.0,Dense,30-100B
640,79,0.0013,524042154.0,Dense,30-100B
2088,404,0.0022,524178355.0,Dense,30-100B
320,7,0.0013,525060548.0,Dense,30-100B
3043,725,0.0021,526119288.0,Dense,30-100B
1945,7,0.0013,527040455.0,Dense,30-100B
3630,312,0.0021,527067446.0,Dense,30-100B
1595,5,0.0012,529151031.0,Dense,30-100B
3959,110,0.0008,530014874.0,Dense,30-100B
2717,340,0.0015,531067503.0,Dense,30-100B
1472,608,0.0012,532057008.0,Dense,30-100B
356,57,0.0008,532999706.0,Dense,30-100B
2920,165,0.0015,534095737.0,Dense,30-100B
122,28,0.0007,536068976.0,Dense,30-100B
1877,129,0.0007,540125164.0,Dense,30-100B
3066,806,0.0016,541068162.0,Dense,30-100B
225,5,0.0017,542134865.0,Dense,30-100B
723,18,0.0009,545030779.0,Dense,30-100B
2274,200,0.0015,545075913.0,Dense,30-100B
241,505,0.0021,546014820.0,Dense,30-100B
1564,714,0.0022,547129138.0,Dense,30-100B
1177,106,0.0009,548994472.0,Dense,30-100B
953,7,0.0007,551220094.0,Dense,30-100B
452,715,0.0021,552085781.0,Dense,30-100B
769,60,0.0015,553004960.0,Dense,30-100B
653,5,0.0056,553049663.0,Dense,30-100B
1683,314,0.0014,553086859.0,Dense,30-100B
1503,129,0.0022,560122875.0,Dense,30-100B
1947,751,0.0013,561142047.0,Dense,30-100B
2101,620,0.0013,562039759.0,Dense,30-100B
1830,175,0.0014,562099935.0,Dense,30-100B
7272,745,0.0015,562206049.0,Dense,30-100B
230,307,0.0021,563141067.0,Dense,30-100B
2283,409,0.0022,565149754.0,Dense,30-100B
407,24,0.0021,566077366.0,Dense,30-100B
