input_length,output_length,latency,timestamp,architecture,scale
1196,194,0.001707372,460889409,Dense,30-100B
1088,20,0.002161963,460960464,Dense,30-100B
3548,2,0.001549393,463802854,Dense,30-100B
746,246,0.002776097,463930982,Dense,30-100B
997,20,0.001436092,463982345,Dense,30-100B
1918,88,0.002243515,464946753,Dense,30-100B
852,0,0.001469783,465809399,Dense,30-100B
3048,206,0.002990571,467870881,Dense,30-100B
2385,210,0.001578851,468949980,Dense,30-100B
1552,620,0.003577272,468999088,Dense,30-100B
11094,181,0.001285293,471829104,Dense,30-100B
390,106,0.001290589,472781076,Dense,30-100B
1276,145,0.001737631,475009563,Dense,30-100B
1408,135,0.000776981,475830427,Dense,30-100B
1935,69,0.001260292,476985264,Dense,30-100B
59,632,0.000795581,477868519,Dense,30-100B
10754,155,0.001784762,480947907,Dense,30-100B
645,27,0.000753314,482800443,Dense,30-100B
3398,181,0.001309343,487829145,Dense,30-100B
85,1135,0.000910442,488894215,Dense,30-100B
4825,104,0.000570791,491947058,Dense,30-100B
87,3498,0.00162311,493780503,Dense,30-100B
227,7,0.001248232,494930820,Dense,30-100B
626,7,0.006174393,499931820,Dense,30-100B
219,6,0.001317363,504923265,Dense,30-100B
810,234,0.000875826,505018166,Dense,30-100B
542,26,0.000874136,505833874,Dense,30-100B
3603,63,0.001211573,505894058,Dense,30-100B
239,48,0.000722245,507787628,Dense,30-100B
68,1122,0.002197372,510932389,Dense,30-100B
2253,334,0.004146807,513811949,Dense,30-100B
589,616,0.005024663,513976343,Dense,30-100B
1372,125,0.001811092,518829214,Dense,30-100B
57,816,0.002204943,522069644,Dense,30-100B
332,603,0.001245163,523805645,Dense,30-100B
434,1600,0.001350713,525886892,Dense,30-100B
413,23,0.000708075,526890342,Dense,30-100B
1276,105,0.003044968,527050516,Dense,30-100B
11271,129,0.002434905,527955538,Dense,30-100B
4661,857,0.001281452,530976971,Dense,30-100B
5416,811,0.001195808,533936968,Dense,30-100B
3499,83,0.001248803,534992425,Dense,30-100B
172,1472,0.001359903,535842281,Dense,30-100B
914,62,0.001224073,540869612,Dense,30-100B
340,28,0.000786815,540939050,Dense,30-100B
249,570,0.002161344,548922522,Dense,30-100B
907,763,0.002215183,548993339,Dense,30-100B
3239,4,0.000697383,552968503,Dense,30-100B
1170,74,0.000661921,553821840,Dense,30-100B
2998,170,0.001381853,556806695,Dense,30-100B
1317,45,0.01355797,559011580,Dense,30-100B
2244,53,0.000708172,559849282,Dense,30-100B
281,95,0.001302773,559963445,Dense,30-100B
394,70,0.002122374,567801232,Dense,30-100B
3732,756,0.002064653,569793596,Dense,30-100B
2931,745,0.001229882,569812036,Dense,30-100B
3128,0,0.002064522,570905562,Dense,30-100B
375,33,0.001344323,571959474,Dense,30-100B
1260,139,0.002084905,572847153,Dense,30-100B
877,626,0.001178473,573796853,Dense,30-100B
4094,180,0.002253114,573863433,Dense,30-100B
2017,738,0.003908024,573967500,Dense,30-100B
247,620,0.001234132,574961627,Dense,30-100B
761,6,0.003013828,575049045,Dense,30-100B
110,62,0.001311253,575879181,Dense,30-100B
655,249,0.001394983,577844399,Dense,30-100B
2321,833,0.000759874,581905006,Dense,30-100B
5625,42,0.002136484,591953433,Dense,30-100B
2284,513,0.00176244,591987696,Dense,30-100B
453,32,0.001247562,592070618,Dense,30-100B
922,9,0.001667051,593787570,Dense,30-100B
1428,166,0.0016483,593902359,Dense,30-100B
1040,163,0.00177033,593906169,Dense,30-100B
227,4,0.001218003,602901724,Dense,30-100B
10754,266,0.000785032,602980918,Dense,30-100B
4145,163,0.001047847,603785794,Dense,30-100B
6370,722,0.001341223,603894372,Dense,30-100B
1427,92,0.002178793,606003360,Dense,30-100B
8027,282,0.000713065,607944839,Dense,30-100B
1002,1015,0.002156444,611057449,Dense,30-100B
541,63,0.000684145,611891322,Dense,30-100B
1537,13,0.000922226,612812062,Dense,30-100B
10754,153,0.010443833,613907212,Dense,30-100B
226,4,0.000763216,613918479,Dense,30-100B
1815,29,0.000771235,615052263,Dense,30-100B
1819,166,0.002597026,616832534,Dense,30-100B
114,2211,0.001626761,618800636,Dense,30-100B
5287,102,0.000666862,618964340,Dense,30-100B
6212,494,0.000807705,620818196,Dense,30-100B
2047,257,0.002382795,621014719,Dense,30-100B
734,131,0.002119953,622908000,Dense,30-100B
1080,137,0.002870218,623800534,Dense,30-100B
12060,110,0.002166565,623820950,Dense,30-100B
757,6,0.002203913,624838219,Dense,30-100B
2289,334,0.002441335,625933099,Dense,30-100B
1662,203,0.001547249,629933347,Dense,30-100B
1785,90,0.022182078,629971834,Dense,30-100B
2255,510,0.000830581,631929812,Dense,30-100B
594,36,0.001365953,631970711,Dense,30-100B
232,5,0.002246353,632005154,Dense,30-100B
3516,135,0.000757905,632806795,Dense,30-100B
200,1051,0.00159724,633893433,Dense,30-100B
854,113,0.000654614,634865544,Dense,30-100B
268,1329,0.000808295,638934239,Dense,30-100B
252,470,0.000736515,639947537,Dense,30-100B
4298,595,0.001241032,642920638,Dense,30-100B
1145,216,0.002116215,642942757,Dense,30-100B
295,16,0.000990217,644944420,Dense,30-100B
2303,525,0.002105944,647828147,Dense,30-100B
651,1408,0.00161959,647936886,Dense,30-100B
4257,219,0.002094974,649845635,Dense,30-100B
1383,151,0.001624611,650785957,Dense,30-100B
11094,136,0.002086404,650797017,Dense,30-100B
2186,431,0.002069854,651925864,Dense,30-100B
59,386,0.008267092,656874989,Dense,30-100B
297,84,0.000783174,657887596,Dense,30-100B
146,1,0.000727694,660957979,Dense,30-100B
5338,733,0.000807535,662787931,Dense,30-100B
11271,198,0.000844031,662941805,Dense,30-100B
5877,832,0.000746775,664924717,Dense,30-100B
96,1,0.001370373,671805408,Dense,30-100B
2049,12,0.000714875,671923757,Dense,30-100B
762,61,0.002178453,672864356,Dense,30-100B
2850,275,0.00160587,675860176,Dense,30-100B
3152,30,0.001554309,675944790,Dense,30-100B
5143,838,0.000708765,682028871,Dense,30-100B
